Year	Liquid wholemilk (ml)	Skimmed milk 	Yoghurt and fromage frais	Total milk and cream 	Natural cheese 	Processed cheese	Total cheese 	Eggs ( )	Oranges and other citrus fruit 	Apples and pears	Bananas	Total fresh fruit 	Fruit juice (ml)	Total other fruit  (c)	Total Fruit 	Potatoes	Fresh green vegetables	Other fresh vegetables	Canned vegetables	Frozen vegetables	Other vegetables and products (d)	Total vegetables 	Bread	Flour	Cakes and pastries	Biscuits	Break-fast cereal	Total cereals (excluding bread) 	Bread & cereal products 	Sugar	Preserves 	Tea	Coffee	Total beverages 	Fresh white fish	Fresh fat fish	Shellfish	Cooked fish	Total fish and fish products 	Butter	Margarine	Lard	All other fats (f)	Vegetable and oils	Low fat spreads	Reduced fat spreads	Total fats 	Beef and veal	Mutton and lamb	Pork	Bacon and ham	Pork, bacon and ham	Poultry	Sausages	Total meat and meat products 
1942	1977.54996692652			2136.66318265624			101.4912926622	1.4				196.7456902446			196.7456902446	1876.738428558	438.0001317405	450.1904266692			136.3612060629	2901.2901930306	1717.981099254	181.436947776		73.708760034	22.679618472	592.505032581	2310.486131835	238.4194891869	139.7631488337								187.3903476249	56.1320557182	117.6505208235	50.4621511002	20.6951518557				244.9398794976	229.631137029	150.252472377	11.339809236	111.9806162055	123.3204254415		113.1145971291	745.592457267
1943	2238.95024991106			2443.5243844207			87.0330358863	2.22				223.6777371801			223.6777371801	1944.4937887431	540.9089005572	438.2836269714			151.1029580697	3074.7892743414	1692.466528473	195.611709321		51.029141562	22.679618472	612.349698744	2304.816227217	246.9243461139	147.1340248371								185.4058810086	56.69904618	118.5010065162	55.2815700255	17.009713854				247.4913365757	204.116566248	170.09713854	28.34952309	114.2485780527	142.5981011427		107.1611972802	742.757504958
1944	2255.99809445353			2506.03314774309			73.9922552649	2.93	33.7359324771			261.6660981207			261.6660981207	1955.5501027482	567.2739570309	477.4059688356			149.1184914534	3149.3485200681	1698.136433091	201.281613939		56.69904618	25.514570781	663.378840306	2361.515273397	256.5631839645	171.5146146945								216.0233659458	58.1165223345	121.6194540561	56.1320557182	24.9475803192				260.815612428	198.44666163	150.252472377	53.864093871	128.9903300595	182.8544239305		116.5165398999	805.126455756
1945	2335.55470231839			2517.39837743807			70.5903124941	3.01	74.8427409576			317.514658608			317.514658608	1863.4141527057	517.3787963925	441.6855697422			187.6738428558	3017.8067329305	1752.000526962	175.767043158		82.213616961	25.514570781	671.883697233	2423.884224195	258.8311458117	155.3553865332								261.0991076589	61.2349698744	118.7845017471	42.8077798659	21.8291327793				244.6563842667	178.601995467	172.932090849	39.689332326	100.3573117386	140.0466440646		109.7126543583	745.592457267
1946	2244.63286475855			2449.20699926819			72.0077886486	2.5	64.6369126452			302.4894113703			302.4894113703	1999.2083683068	500.0855873076	446.2214934366			208.9359851733	3154.4514342243	1698.136433091	172.932090849		73.708760034	28.34952309	640.699221834	2338.835654925	270.7379455095	153.6544151478								299.0874685995	80.2291503447	98.0893498914	33.1689420153	21.8291327793				233.3165750307	212.621423175	164.427233922	11.339809236	91.2854643498	102.6252735858		118.5010065162	756.932266503
1947	2187.80671628365			2443.5243844207			62.368950798	2.13	128.7068348286			433.4642080461			433.4642080461	1905.3714468789	358.6214670885	525.0331676268			238.9864796487	3028.0125612429	1771.845193125	153.087424686		62.368950798	31.184475399	606.679794126	2378.524987251	287.7476593635	156.2058722259								269.0369741241	79.378664652	96.388378506	28.34952309	18.1436947776				222.2602610256	178.601995467	164.427233922	2.834952309	55.2815700255	58.1165223345		121.902949287	722.912838795
1948	2284.41116869098			2466.25484381066			56.69904618	2.23	103.4757592785			409.6506086505			409.6506086505	1689.3480809331	493.5651969969	484.2098543772			219.1418134857	2886.2649457929	1865.398619322	175.767043158		73.708760034	42.524284635	680.38855416	2545.787173482	289.165135518	175.4835479271								282.3612499764	90.718473888	110.563140051	30.0504944754	20.4116566248				251.7437650392	187.106852394	133.242758523	2.834952309	58.1165223345	60.9514746435		136.077710832	652.03903107
1949	2477.62007350564			2676.51159316779			60.9514746435	2.97	88.7340072717			386.6874949476			386.6874949476	1853.7753148551	421.2739131174	490.1632542261			231.8990988762	2997.1115810748	1732.155860799	195.611709321		82.213616961	42.524284635	688.893411087	2421.049271886	307.5923255265	177.4680145434								237.5690034942	99.223330815	119.9184826707	59.2505032581	24.0970946265				302.4894113703	184.271900085	136.077710832	2.834952309	75.9767218812	78.8116741902		118.7845017471	643.534174143
1950	2716.28989710022			2937.91187615233			72.0077886486	3.5	92.7029405043	200.9981187081	36.5708847861	408.5166277269	7	104.3262449712	512.8428726981	1758.8044125036	391.5069138729	433.1807128152			214.0388993295	2797.5309385212	1637.1849584475	205.5340424025	189.6583094721	104.3262449712	39.689332326	678.1205923128	2315.3055507603	287.1806689017	178.601995467	61.2349698744	5.9533998489	77.1107028048	88.7340072717	15.8757329304	3.4019427708	28.9165135518	187.6738428558	129.2738252904	111.6971209746	55.5650652564	32.6019515535				329.1379630749	228.4971561054	153.9379103787	8.504856927	128.1398443668	136.6447012938	9.9223330815	113.6815875909	846.2332642365
1951	2784.4812752701			2960.64233554229			78.2446837284	2.84	129.5573205213	229.3476417981	44.5087512513	504.621511002	8	111.4136257437	616.0351367457	1763.6238314289	441.1185792804	473.1535403721			225.9456990273	2903.8416501087	1650.5092342998	230.1981274908	183.7049096232	131.5417871376	40.8233132496	727.4487624894	2377.9579967892	324.3185441496	167.5456814619	56.9825414109	10.7728187742	78.8116741902	106.5942068184	20.4116566248	3.6854380017	28.0660278591	217.1573468694	110.8466352819	117.0835303617	57.5495318727	23.2466089338				308.7263064501	176.6175288507	97.8058546605	10.2058283124	131.2582919067	141.4641202191	16.1592281613	100.6408069695	906.0507579564
